worker_id,state,sex,marital_status,religion,social_group,urban_rural,education,employment_type,employer_type,age,annual_wage_inr,work_hours_year
16,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,24,55808,3115
17,Kerala,Female,Unmarried,Christian,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_individual,23,200166,2684
18,Gujarat,Male,Unmarried,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,51,32868,1548
19,Odisha,Female,Widowed,Christian,Adivasi (ST),Urban,Middle (6-9),regular_informal,private_firm,44,1887,2872
20,Punjab,Male,Married,Sikh,OBC,Rural,1-4 yrs,regular_informal,private_individual,35,62208,2299
21,Gujarat,Female,Unmarried,Hindu,OBC,Urban,Higher Sec (12-14),casual_daily,private_individual,24,16506,1961
22,Andhra Pradesh,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_piecework,private_individual,35,49136,1875
23,Maharashtra,Male,Unmarried,Hindu,Forward caste,Urban,Higher Sec (12-14),regular_informal,other,28,195802,2347
24,Chhattisgarh,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_firm,37,57621,2211
25,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Graduate (15),casual_daily,private_individual,46,37433,1869
26,Assam,Male,Married,Muslim,Muslim,Rural,Middle (6-9),casual_daily,private_individual,28,48173,1566
27,Rajasthan,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other,37,7327,728
28,Sikkim,Female,Married,Christian,Dalit (SC),Urban,Secondary (10-11),regular_informal,private_individual,36,71362,2538
29,West Bengal,Female,Married,Hindu,Forward caste,Rural,Middle (6-9),regular_informal,private_firm,30,5638,3375
30,Rajasthan,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,31,26993,2168
31,Karnataka,Female,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,other_govt_program,41,7135,1211
32,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,25,9948,1087
33,Karnataka,Male,Married,Hindu,Brahmin,Rural,Graduate (15),regular_informal,private_individual,47,29679,1571
34,Uttar Pradesh,Male,Married,Muslim,Muslim,Urban,Middle (6-9),short_term_contract,private_individual,23,50535,2093
35,Rajasthan,Male,Married,Hindu,OBC,Rural,Graduate (15),regular_informal,private_firm,27,71250,2619
36,Maharashtra,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),regular_informal,private_individual,52,1918,1022
37,Maharashtra,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,18,15614,2304
38,Rajasthan,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),casual_daily,other,32,76067,2027
39,Dadra & Nagar Haveli,Male,Married,Christian,Adivasi (ST),Rural,Middle (6-9),regular_informal,private_firm,20,2773,139
40,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,Primary (5),casual_piecework,private_individual,40,39882,2585
41,Odisha,Male,Unmarried,Hindu,Forward caste,Urban,Graduate (15),regular_informal,private_individual,18,32151,2499
42,Odisha,Male,Married,Hindu,Forward caste,Urban,Graduate (15),casual_daily,private_individual,25,54789,2956
43,Gujarat,Male,Unmarried,Hindu,Forward caste,Rural,Middle (6-9),regular_informal,private_firm,18,47163,1805
44,Gujarat,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,28,101129,2343
45,West Bengal,Male,Unmarried,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,25,41134,1816
46,Delhi,Female,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,other,48,31602,1532
47,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Secondary (10-11),regular_informal,private_firm,24,46685,2969
48,Gujarat,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,23,10954,1360
49,Odisha,Male,Widowed,Hindu,Dalit (SC),Urban,Primary (5),casual_piecework,private_individual,46,13295,2263
50,Assam,Male,Married,Hindu,OBC,Urban,Graduate (15),regular_informal,private_firm,41,69549,2988
51,West Bengal,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,22,36064,1506
52,Gujarat,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_firm,23,14651,1325
53,Gujarat,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_firm,25,9252,1810
54,Punjab,Female,Married,Christian,Christian/Sikh/Jain,Rural,Middle (6-9),casual_daily,private_individual,65,45549,1930
55,Bihar,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_firm,60,39308,1253
56,Bihar,Male,Married,Hindu,OBC,Rural,Primary (5),casual_daily,private_individual,43,4192,1108
57,Uttar Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,other,30,72259,2509
58,Kerala,Female,Married,Christian,Christian/Sikh/Jain,Urban,Higher Sec (12-14),regular_informal,private_firm,31,68954,2792
59,Uttarakhand,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_firm,24,26279,1402
60,Jharkhand,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,44,75726,1369
61,Maharashtra,Female,Married,Hindu,Dalit (SC),Urban,Post-graduate (16+),casual_daily,private_individual,29,74871,2814
62,West Bengal,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,25,53533,2545
63,Haryana,Male,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_individual,23,46509,3031
64,Tamil Nadu,Female,Widowed,Hindu,Adivasi (ST),Urban,1-4 yrs,casual_daily,private_individual,53,13680,1042
65,Uttar Pradesh,Male,Unmarried,Muslim,Muslim,Urban,1-4 yrs,casual_daily,private_individual,25,42116,2405
66,Odisha,Male,Married,Hindu,OBC,Urban,1-4 yrs,casual_daily,private_individual,26,29373,2014
67,Karnataka,Male,Unmarried,Hindu,Forward caste,Rural,1-4 yrs,casual_daily,private_individual,19,25425,1286
68,Gujarat,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),short_term_contract,private_firm,20,14263,1421
69,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,25,77852,2644
70,Dadra & Nagar Haveli,Male,Unmarried,Hindu,Brahmin,Urban,Graduate (15),regular_informal,other,32,84107,3011
71,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),regular_informal,private_individual,41,50487,2887
72,Himachal Pradesh,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),casual_daily,mgnrega,37,11143,1377
73,Gujarat,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,25,22447,2793
74,Punjab,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),casual_daily,private_individual,25,51390,2994
75,Tamil Nadu,Female,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,36,32224,1906
76,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,private_individual,42,28023,1680
77,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,1-4 yrs,casual_daily,private_individual,40,29100,1962
78,Chhattisgarh,Male,Unmarried,Hindu,OBC,Urban,Higher Sec (12-14),regular_informal,other_govt_program,25,43979,2894
79,Jharkhand,Male,Married,Other,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,23,21002,683
80,Odisha,Male,Married,Hindu,Forward caste,Urban,Middle (6-9),casual_daily,private_individual,46,83447,2808
81,West Bengal,Male,Married,Christian,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,44,116132,2985
82,Haryana,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),regular_informal,other_govt_program,40,30033,1569
83,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,39,17747,1549
84,Tripura,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,61,4856,851
85,Madhya Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,24,11967,517
86,Uttar Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,35,56552,2862
87,Tamil Nadu,Male,Separated/Divorced,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_individual,38,14456,1894
88,Maharashtra,Male,Married,Buddhist,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_firm,34,45756,2940
89,Assam,Male,Unmarried,Muslim,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,21,33008,1990
90,Kerala,Male,Unmarried,Muslim,Muslim,Urban,Secondary (10-11),casual_piecework,private_individual,20,71592,2333
91,Maharashtra,Male,Married,Hindu,Brahmin,Urban,Middle (6-9),regular_informal,private_individual,43,48050,2964
92,Tamil Nadu,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,44,12648,1224
93,Maharashtra,Male,Unmarried,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,private_firm,25,75585,2136
94,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,mgnrega,49,7763,545
95,Karnataka,Male,Unmarried,Hindu,Adivasi (ST),Rural,Higher Sec (12-14),casual_daily,private_individual,27,109354,1353
96,Karnataka,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,24,4555,1604
97,Odisha,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,34,28419,3089
98,Karnataka,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,other,33,9683,896
99,Puducherry,Male,Married,Hindu,Dalit (SC),Rural,Post-graduate (16+),casual_daily,mgnrega,35,4108,2414
100,Uttar Pradesh,Male,Unmarried,Muslim,Muslim,Rural,Middle (6-9),casual_daily,private_individual,20,23042,1852
101,Himachal Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,other,29,57461,1313
102,Punjab,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,38,73710,2955
103,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,56,46986,2117
104,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_firm,36,41570,2893
105,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Middle (6-9),regular_informal,private_individual,26,77464,2061
106,West Bengal,Female,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,28,129326,2869
107,Maharashtra,Female,Widowed,Buddhist,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,50,11672,1308
108,Karnataka,Male,Married,Hindu,Christian/Sikh/Jain,Rural,Secondary (10-11),casual_daily,private_individual,44,93687,2900
109,Chhattisgarh,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,23,4885,391
110,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,short_term_contract,private_individual,39,93164,1642
111,Maharashtra,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,other,50,83144,1780
112,Manipur,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,64,23822,1766
113,Punjab,Male,Married,Muslim,Muslim,Rural,Higher Sec (12-14),short_term_contract,private_individual,22,3309,1428
114,Jammu & Kashmir,Male,Unmarried,Muslim,Muslim,Urban,Middle (6-9),casual_piecework,private_individual,26,44224,1492
115,Karnataka,Male,Unmarried,Muslim,Brahmin,Rural,1-4 yrs,casual_piecework,private_individual,21,46274,2299
116,West Bengal,Female,Unmarried,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_firm,26,54047,2838
117,Andhra Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,45,19605,1685
118,Kerala,Male,Married,Hindu,OBC,Urban,Secondary (10-11),casual_daily,private_individual,25,39012,2153
119,Chhattisgarh,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,mgnrega,53,9400,1108
120,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,50,58637,2947
121,Jharkhand,Male,Married,Other,Adivasi (ST),Urban,Middle (6-9),casual_daily,private_individual,46,17752,2909
122,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_firm,61,37196,2067
123,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,38,46616,2893
124,Maharashtra,Female,Married,Hindu,OBC,Urban,Higher Sec (12-14),regular_informal,other_govt_program,37,7452,2861
125,Goa,Female,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_piecework,other_govt_program,53,7081,2329
126,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,Higher Sec (12-14),casual_daily,private_individual,23,85356,1837
127,Tamil Nadu,Male,Married,Christian,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,46,47548,3034
128,Andhra Pradesh,Male,Married,Muslim,Muslim,Urban,Secondary (10-11),casual_piecework,private_individual,34,76517,2344
129,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,other_govt_program,44,82799,2901
130,Andhra Pradesh,Male,Married,Hindu,Forward caste,Rural,Secondary (10-11),casual_daily,other,59,24311,1866
131,Tamil Nadu,Male,Married,Hindu,OBC,Urban,Graduate (15),casual_daily,private_individual,45,49550,1975
132,Tamil Nadu,Male,Separated/Divorced,Hindu,Dalit (SC),Urban,1-4 yrs,casual_piecework,other,45,41791,1491
133,Gujarat,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,47,5716,1506
134,West Bengal,Male,Unmarried,Hindu,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_individual,37,70840,2584
135,Madhya Pradesh,Female,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,35,4364,223
136,Odisha,Male,Married,Tribal,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,18,5555,297
137,Madhya Pradesh,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,26,45608,2074
138,Andhra Pradesh,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,other,49,18711,1763
139,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_piecework,private_individual,27,70860,2396
140,Karnataka,Male,Unmarried,Jain,Christian/Sikh/Jain,Urban,Graduate (15),casual_daily,private_individual,23,38222,2185
141,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,46,56076,1822
142,Tamil Nadu,Female,Married,Hindu,OBC,Urban,1-4 yrs,casual_daily,private_individual,49,68567,1987
143,Rajasthan,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_firm,20,28117,2902
144,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,24,35039,2109
145,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_firm,45,59232,2981
146,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_individual,49,86497,2669
147,West Bengal,Male,Married,Hindu,Forward caste,Urban,Secondary (10-11),regular_informal,private_firm,45,118765,2984
148,Rajasthan,Female,Married,Hindu,Brahmin,Rural,1-4 yrs,casual_piecework,mgnrega,24,1292,214
149,Punjab,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,27,12651,1334
150,Rajasthan,Male,Married,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_firm,28,229957,2829
151,Karnataka,Male,Married,Muslim,Muslim,Urban,1-4 yrs,casual_daily,private_individual,24,194665,2032
152,Kerala,Male,Married,Hindu,OBC,Urban,Graduate (15),casual_piecework,private_firm,45,168825,3423
153,Himachal Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other,25,17979,1287
154,Arunachal Pradesh,Male,Married,Other,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_firm,36,37204,2958
155,Jammu & Kashmir,Female,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,48,22943,1486
156,Uttar Pradesh,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,22,46197,2312
157,Assam,Male,Unmarried,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,19,34122,690
158,Jharkhand,Male,Married,Tribal,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,25,46405,1222
159,Karnataka,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,47,35053,2319
160,Karnataka,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),short_term_contract,private_individual,28,43735,1610
161,West Bengal,Female,Married,Hindu,Forward caste,Rural,1-4 yrs,casual_daily,mgnrega,52,4215,1679
162,Bihar,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_piecework,mgnrega,61,11297,260
163,Karnataka,Male,Married,Muslim,Muslim,Rural,1-4 yrs,casual_piecework,private_individual,46,34609,2041
164,Karnataka,Female,Unmarried,Hindu,Forward caste,Urban,Post-graduate (16+),regular_informal,other_govt_program,33,71740,179
165,Delhi,Male,Married,Hindu,OBC,Urban,Graduate (15),casual_daily,private_individual,45,94930,2899
166,Goa,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,34,102597,2467
167,West Bengal,Female,Married,Hindu,Brahmin,Urban,Graduate (15),regular_informal,private_firm,44,66419,2801
168,Uttar Pradesh,Male,Unmarried,Muslim,Muslim,Urban,Graduate (15),regular_informal,private_individual,24,87502,2909
169,Karnataka,Female,Married,Jain,Christian/Sikh/Jain,Urban,Post-graduate (16+),casual_daily,private_individual,45,36430,2873
170,Karnataka,Female,Married,Christian,Dalit (SC),Rural,1-4 yrs,regular_informal,private_firm,30,23603,1572
171,Jammu & Kashmir,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,26,44692,2690
172,Goa,Male,Married,Hindu,Muslim,Rural,1-4 yrs,casual_daily,private_individual,42,60556,2417
173,Tamil Nadu,Male,Married,Hindu,OBC,Urban,Middle (6-9),casual_daily,private_individual,24,7274,2046
174,Chhattisgarh,Female,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,mgnrega,25,70,390
175,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,other_govt_program,30,72183,3837
176,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,23,55450,1947
177,Rajasthan,Female,Unmarried,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,18,6230,286
178,Andhra Pradesh,Female,Married,Hindu,OBC,Urban,Middle (6-9),casual_daily,private_individual,25,609,312
179,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,42,51363,2009
180,Maharashtra,Female,Widowed,Hindu,Dalit (SC),Urban,1-4 yrs,casual_piecework,other_govt_program,42,29740,2935
181,Punjab,Male,Unmarried,Sikh,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,20,65102,2508
182,Karnataka,Male,Unmarried,Hindu,Dalit (SC),Rural,1-4 yrs,short_term_contract,private_individual,26,30795,1859
183,Tamil Nadu,Female,Married,Christian,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,mgnrega,35,50155,155
184,Delhi,Male,Unmarried,Hindu,Dalit (SC),Urban,Secondary (10-11),regular_informal,private_individual,24,53892,2918
185,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,21,41936,2256
186,Tamil Nadu,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,26,7082,238
187,Tripura,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,25,20059,883
188,Karnataka,Male,Unmarried,Hindu,Forward caste,Rural,Secondary (10-11),casual_daily,private_individual,23,19404,1494
189,Jammu & Kashmir,Male,Married,Muslim,Muslim,Urban,Secondary (10-11),casual_piecework,private_individual,28,44598,2830
190,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,mgnrega,48,8710,1665
191,Andhra Pradesh,Male,Unmarried,Hindu,Dalit (SC),Urban,1-4 yrs,regular_informal,private_individual,18,25554,2269
192,Karnataka,Male,Married,Hindu,Dalit (SC),Urban,Secondary (10-11),casual_piecework,private_firm,44,47624,2861
193,Andhra Pradesh,Male,Married,Hindu,Brahmin,Urban,Middle (6-9),regular_informal,private_individual,26,44071,1609
194,Odisha,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,mgnrega,48,7585,684
195,Uttar Pradesh,Male,Separated/Divorced,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,20,77622,2379
196,Maharashtra,Male,Unmarried,Buddhist,Dalit (SC),Urban,Secondary (10-11),short_term_contract,private_individual,24,52041,2085
197,Tamil Nadu,Female,Married,Hindu,OBC,Urban,Middle (6-9),regular_informal,private_individual,50,50655,3002
198,Jharkhand,Female,Married,Hindu,Dalit (SC),Urban,Primary (5),regular_informal,private_individual,33,69053,2918
199,Chhattisgarh,Male,Married,Hindu,Adivasi (ST),Urban,Middle (6-9),casual_daily,private_individual,29,8051,366
200,Gujarat,Male,Married,Hindu,OBC,Urban,Middle (6-9),casual_daily,private_individual,36,74235,2664
201,Tripura,Female,Separated/Divorced,Christian,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,45,5611,396
202,Andhra Pradesh,Female,Married,Hindu,Brahmin,Rural,Graduate (15),casual_daily,private_firm,38,7031,988
203,Kerala,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,28,197258,2492
204,Kerala,Male,Married,Muslim,Christian/Sikh/Jain,Urban,Secondary (10-11),casual_piecework,private_individual,49,145663,2917
205,Punjab,Male,Unmarried,Sikh,Christian/Sikh/Jain,Urban,Higher Sec (12-14),regular_informal,private_individual,19,48977,23
206,Maharashtra,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,mgnrega,23,5077,299
207,West Bengal,Male,Married,Hindu,Forward caste,Urban,Middle (6-9),casual_piecework,private_individual,48,43761,2095
208,Chhattisgarh,Male,Married,Hindu,Brahmin,Rural,Post-graduate (16+),regular_informal,mgnrega,24,15090,1408
209,Tamil Nadu,Male,Married,Jain,Christian/Sikh/Jain,Urban,Higher Sec (12-14),casual_daily,private_individual,40,169045,1432
210,Maharashtra,Female,Widowed,Hindu,Forward caste,Urban,Middle (6-9),short_term_contract,private_individual,28,152392,1867
211,Delhi,Female,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,other,19,3778,604
212,Haryana,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,private_individual,35,47727,2158
213,Karnataka,Male,Unmarried,Hindu,OBC,Rural,Graduate (15),casual_daily,private_individual,18,3263,80
214,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,35,48929,1813
215,West Bengal,Male,Unmarried,Christian,Muslim,Rural,1-4 yrs,casual_daily,private_individual,22,12807,5
216,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,53,30088,2220
217,Maharashtra,Female,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_individual,34,40253,2929
218,Chhattisgarh,Male,Married,Hindu,Dalit (SC),Rural,Primary (5),casual_daily,mgnrega,21,129,311
219,Andhra Pradesh,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,42,18135,1846
220,Odisha,Male,Unmarried,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,22,59582,1955
221,West Bengal,Female,Married,Muslim,Muslim,Urban,Primary (5),short_term_contract,private_individual,30,39391,2498
222,Tamil Nadu,Female,Married,Hindu,Forward caste,Urban,1-4 yrs,casual_daily,private_individual,23,13213,862
223,Jharkhand,Male,Married,Christian,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_firm,37,78517,2930
224,Assam,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,48,75751,1910
225,West Bengal,Male,Married,Hindu,Brahmin,Rural,Higher Sec (12-14),casual_daily,private_firm,49,34477,1490
226,Haryana,Male,Married,Hindu,OBC,Rural,Higher Sec (12-14),casual_daily,private_firm,30,71879,1905
227,Jammu & Kashmir,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_individual,29,8495,498
228,Karnataka,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_piecework,private_individual,45,72886,2624
229,Odisha,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,private_individual,24,16997,1505
230,Chhattisgarh,Female,Married,Hindu,Brahmin,Rural,1-4 yrs,casual_daily,other,48,1841,201
231,Rajasthan,Male,Married,Christian,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,other_govt_program,36,38863,1795
232,Chhattisgarh,Male,Married,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_firm,30,50218,2521
233,Daman & Diu,Male,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),casual_daily,private_individual,26,44004,1277
234,Tripura,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,33,56074,1959
