worker_id,state,sex,marital_status,religion,social_group,urban_rural,education,employment_type,employer_type,age,annual_wage_inr,work_hours_year,contract_status,is_migrant,language,low_resource_language,wage_violation_prob,wage_below_minimum,rights_awareness,ai_usability_score,social_protection_gap
25,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Graduate (15),casual_daily,private_individual,46,37433,1869,none,False,Hindi,False,0.99,True,0.208,4,0.713
26,Assam,Male,Married,Muslim,Muslim,Rural,Middle (6-9),casual_daily,private_individual,28,48173,1566,none,False,Hindi,False,0.868,False,0.181,2,0.471
27,Rajasthan,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other,37,7327,728,none,False,Hindi,False,0.99,True,0.264,2,0.846
28,Sikkim,Female,Married,Christian,Dalit (SC),Urban,Secondary (10-11),regular_informal,private_individual,36,71362,2538,none,False,Hindi,False,0.58,False,0.291,4,0.288
29,West Bengal,Female,Married,Hindu,Forward caste,Rural,Middle (6-9),regular_informal,private_firm,30,5638,3375,written,False,Bengali,False,0.345,False,0.91,2,0.252
30,Rajasthan,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,31,26993,2168,none,False,Hindi,False,0.99,True,0.184,1,0.945
31,Karnataka,Female,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,other_govt_program,41,7135,1211,none,True,Kannada,False,0.99,True,0.364,2,0.816
32,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,25,9948,1087,none,True,Tamil,False,0.99,True,0.322,2,0.828
33,Karnataka,Male,Married,Hindu,Brahmin,Rural,Graduate (15),regular_informal,private_individual,47,29679,1571,none,True,Kannada,False,0.546,False,0.401,4,0.255
34,Uttar Pradesh,Male,Married,Muslim,Muslim,Urban,Middle (6-9),short_term_contract,private_individual,23,50535,2093,verbal,False,Hindi,False,0.45,True,0.64,3,0.658
35,Rajasthan,Male,Married,Hindu,OBC,Rural,Graduate (15),regular_informal,private_firm,27,71250,2619,written,False,Hindi,False,0.3,True,1.0,4,0.475
36,Maharashtra,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),regular_informal,private_individual,52,1918,1022,none,False,Marathi,False,0.42,True,0.11,3,0.817
37,Maharashtra,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,18,15614,2304,none,True,Marathi,False,0.99,True,0.163,3,0.801
38,Rajasthan,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),casual_daily,other,32,76067,2027,none,False,Hindi,False,0.99,True,0.824,4,0.528
39,Dadra & Nagar Haveli,Male,Married,Christian,Adivasi (ST),Rural,Middle (6-9),regular_informal,private_firm,20,2773,139,written,True,Hindi,False,0.468,False,0.921,2,0.249
40,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,Primary (5),casual_piecework,private_individual,40,39882,2585,none,True,Telugu,False,0.99,True,0.063,2,0.906
41,Odisha,Male,Unmarried,Hindu,Forward caste,Urban,Graduate (15),regular_informal,private_individual,18,32151,2499,none,False,Santali,True,0.42,False,0.531,4,0.216
42,Odisha,Male,Married,Hindu,Forward caste,Urban,Graduate (15),casual_daily,private_individual,25,54789,2956,none,False,Odia,False,0.868,True,0.275,5,0.618
43,Gujarat,Male,Unmarried,Hindu,Forward caste,Rural,Middle (6-9),regular_informal,private_firm,18,47163,1805,written,False,Gujarati,False,0.3,False,0.976,2,0.232
44,Gujarat,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,28,101129,2343,none,False,Gujarati,False,0.868,False,0.099,2,0.495
45,West Bengal,Male,Unmarried,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,25,41134,1816,none,False,Bengali,False,0.868,True,0.144,2,0.882
46,Delhi,Female,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,other,48,31602,1532,none,True,Hindi,False,0.99,True,0.712,3,0.636
47,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Secondary (10-11),regular_informal,private_firm,24,46685,2969,written,False,Hindi,False,0.36,False,0.63,3,0.261
48,Gujarat,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,23,10954,1360,none,False,Gujarati,False,0.868,True,0.359,2,0.817
49,Odisha,Male,Widowed,Hindu,Dalit (SC),Urban,Primary (5),casual_piecework,private_individual,46,13295,2263,none,False,Santali,True,0.99,True,0.165,1,0.951
50,Assam,Male,Married,Hindu,OBC,Urban,Graduate (15),regular_informal,private_firm,41,69549,2988,written,False,Hindi,False,0.3,False,0.817,5,0.055
51,West Bengal,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,22,36064,1506,none,False,Bengali,False,0.868,True,0.153,2,0.879
52,Gujarat,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_firm,23,14651,1325,none,True,Gujarati,False,0.99,True,0.616,2,0.74
53,Gujarat,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_firm,25,9252,1810,none,True,Gujarati,False,0.99,True,0.238,2,0.854
54,Punjab,Female,Married,Christian,Christian/Sikh/Jain,Rural,Middle (6-9),casual_daily,private_individual,65,45549,1930,none,True,Hindi,False,0.99,True,0.061,2,0.907
55,Bihar,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_firm,60,39308,1253,none,True,Bhojpuri,True,0.99,True,0.309,1,0.907
56,Bihar,Male,Married,Hindu,OBC,Rural,Primary (5),casual_daily,private_individual,43,4192,1108,none,False,Bhojpuri,True,0.868,True,0.099,1,0.97
57,Uttar Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,other,30,72259,2509,none,True,Hindi,False,0.99,False,0.302,1,0.509
58,Kerala,Female,Married,Christian,Christian/Sikh/Jain,Urban,Higher Sec (12-14),regular_informal,private_firm,31,68954,2792,written,False,Hindi,False,0.345,True,0.683,4,0.57
59,Uttarakhand,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_firm,24,26279,1402,none,False,Hindi,False,0.868,True,0.299,1,0.91
60,Jharkhand,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,44,75726,1369,none,False,Bhojpuri,True,0.868,True,0.041,1,0.988
61,Maharashtra,Female,Married,Hindu,Dalit (SC),Urban,Post-graduate (16+),casual_daily,private_individual,29,74871,2814,none,False,Hindi,False,0.99,True,0.156,5,0.653
62,West Bengal,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,25,53533,2545,none,False,Bengali,False,0.99,True,0.12,2,0.889
63,Haryana,Male,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_individual,23,46509,3031,none,True,Hindi,False,0.655,False,0.115,4,0.34
64,Tamil Nadu,Female,Widowed,Hindu,Adivasi (ST),Urban,1-4 yrs,casual_daily,private_individual,53,13680,1042,none,False,Hindi,False,0.99,False,0.31,1,0.507
65,Uttar Pradesh,Male,Unmarried,Muslim,Muslim,Urban,1-4 yrs,casual_daily,private_individual,25,42116,2405,none,True,Hindi,False,0.99,True,0.097,1,0.971
66,Odisha,Male,Married,Hindu,OBC,Urban,1-4 yrs,casual_daily,private_individual,26,29373,2014,none,False,Odia,False,0.868,True,0.163,1,0.951
67,Karnataka,Male,Unmarried,Hindu,Forward caste,Rural,1-4 yrs,casual_daily,private_individual,19,25425,1286,none,True,Kannada,False,0.99,True,0.226,1,0.932
68,Gujarat,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),short_term_contract,private_firm,20,14263,1421,verbal,False,Gujarati,False,0.54,True,0.25,2,0.85
69,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,25,77852,2644,none,True,Hindi,False,0.99,True,0.197,3,0.791
70,Dadra & Nagar Haveli,Male,Unmarried,Hindu,Brahmin,Urban,Graduate (15),regular_informal,other,32,84107,3011,none,False,Hindi,False,0.42,False,0.436,5,0.169
71,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),regular_informal,private_individual,41,50487,2887,none,False,Hindi,False,0.504,False,0.138,3,0.409
72,Himachal Pradesh,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),casual_daily,mgnrega,37,11143,1377,none,False,Hindi,False,0.868,True,0.276,3,0.767
73,Gujarat,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,25,22447,2793,none,False,Gujarati,False,0.868,True,0.232,1,0.93
74,Punjab,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),casual_daily,private_individual,25,51390,2994,none,True,Hindi,False,0.99,True,0.231,4,0.706
75,Tamil Nadu,Female,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,36,32224,1906,none,False,Tamil,False,0.99,True,0.125,1,0.963
76,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,private_individual,42,28023,1680,none,False,Hindi,False,0.99,True,0.206,3,0.788
77,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,1-4 yrs,casual_daily,private_individual,40,29100,1962,none,False,Telugu,False,0.868,True,0.109,1,0.967
78,Chhattisgarh,Male,Unmarried,Hindu,OBC,Urban,Higher Sec (12-14),regular_informal,other_govt_program,25,43979,2894,none,False,Hindi,False,0.42,True,0.183,4,0.72
79,Jharkhand,Male,Married,Other,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,23,21002,683,none,True,Nagpuri,True,0.99,True,0.155,1,0.954
80,Odisha,Male,Married,Hindu,Forward caste,Urban,Middle (6-9),casual_daily,private_individual,46,83447,2808,none,True,Odia,False,0.99,True,0.116,3,0.815
81,West Bengal,Male,Married,Christian,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,44,116132,2985,written,False,Bengali,False,0.36,False,0.488,3,0.304
82,Haryana,Male,Married,Hindu,Forward caste,Rural,Higher Sec (12-14),regular_informal,other_govt_program,40,30033,1569,none,False,Hindi,False,0.42,False,0.561,3,0.282
83,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,39,17747,1549,none,True,Hindi,False,0.99,True,0.384,1,0.885
84,Tripura,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,mgnrega,61,4856,851,none,False,Hindi,False,0.99,True,0.101,1,0.97
85,Madhya Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,24,11967,517,none,False,Hindi,False,0.99,True,0.272,2,0.843
86,Uttar Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,35,56552,2862,written,False,Hindi,False,0.36,False,0.682,3,0.245
87,Tamil Nadu,Male,Separated/Divorced,Hindu,Dalit (SC),Urban,Graduate (15),casual_daily,private_individual,38,14456,1894,none,True,Tamil,False,0.99,True,0.263,5,0.621
88,Maharashtra,Male,Married,Buddhist,Dalit (SC),Rural,Secondary (10-11),casual_daily,private_firm,34,45756,2940,none,False,Hindi,False,0.99,True,0.108,3,0.818
89,Assam,Male,Unmarried,Muslim,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,21,33008,1990,none,True,Hindi,False,0.99,True,0.153,2,0.879
90,Kerala,Male,Unmarried,Muslim,Muslim,Urban,Secondary (10-11),casual_piecework,private_individual,20,71592,2333,none,True,Hindi,False,0.99,True,0.171,4,0.724
91,Maharashtra,Male,Married,Hindu,Brahmin,Urban,Middle (6-9),regular_informal,private_individual,43,48050,2964,none,False,Hindi,False,0.42,False,0.287,3,0.364
92,Tamil Nadu,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,44,12648,1224,none,False,Tamil,False,0.99,True,0.141,1,0.958
93,Maharashtra,Male,Unmarried,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,private_firm,25,75585,2136,none,False,Marathi,False,0.868,True,0.212,2,0.861
94,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,mgnrega,49,7763,545,none,True,Bengali,False,0.99,True,0.367,1,0.89
95,Karnataka,Male,Unmarried,Hindu,Adivasi (ST),Rural,Higher Sec (12-14),casual_daily,private_individual,27,109354,1353,none,False,Hindi,False,0.99,True,0.189,3,0.793
96,Karnataka,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,24,4555,1604,none,True,Kannada,False,0.99,True,0.283,2,0.84
97,Odisha,Male,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,34,28419,3089,none,True,Odia,False,0.99,True,0.341,2,0.823
98,Karnataka,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,other,33,9683,896,none,True,Kannada,False,0.99,True,0.409,1,0.877
99,Puducherry,Male,Married,Hindu,Dalit (SC),Rural,Post-graduate (16+),casual_daily,mgnrega,35,4108,2414,none,True,Hindi,False,0.99,True,0.299,4,0.685
100,Uttar Pradesh,Male,Unmarried,Muslim,Muslim,Rural,Middle (6-9),casual_daily,private_individual,20,23042,1852,none,False,Hindi,False,0.868,True,0.085,2,0.9
101,Himachal Pradesh,Male,Married,Hindu,Dalit (SC),Rural,Higher Sec (12-14),casual_daily,other,29,57461,1313,none,False,Hindi,False,0.99,True,0.222,3,0.783
102,Punjab,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,38,73710,2955,none,False,Hindi,False,0.99,True,0.067,3,0.83
103,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,56,46986,2117,none,False,Tamil,False,0.99,True,0.436,1,0.869
104,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_firm,36,41570,2893,none,False,Hindi,False,0.99,True,0.063,2,0.906
105,Punjab,Male,Married,Sikh,Dalit (SC),Rural,Middle (6-9),regular_informal,private_individual,26,77464,2061,none,False,Hindi,False,0.504,True,0.247,2,0.851
106,West Bengal,Female,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,28,129326,2869,none,False,Bengali,False,0.99,False,0.082,3,0.425
107,Maharashtra,Female,Widowed,Buddhist,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,50,11672,1308,none,False,Marathi,False,0.99,True,0.05,1,0.985
108,Karnataka,Male,Married,Hindu,Christian/Sikh/Jain,Rural,Secondary (10-11),casual_daily,private_individual,44,93687,2900,none,True,Kannada,False,0.99,True,0.58,3,0.676
109,Chhattisgarh,Female,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,23,4885,391,none,False,Hindi,False,0.99,True,0.228,1,0.932
110,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,short_term_contract,private_individual,39,93164,1642,verbal,False,Hindi,False,0.54,False,0.472,1,0.458
111,Maharashtra,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_daily,other,50,83144,1780,none,False,Marathi,False,0.99,True,0.29,3,0.763
112,Manipur,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,64,23822,1766,none,True,Hindi,False,0.99,True,0.203,2,0.864
113,Punjab,Male,Married,Muslim,Muslim,Rural,Higher Sec (12-14),short_term_contract,private_individual,22,3309,1428,verbal,False,Hindi,False,0.45,True,0.449,3,0.715
114,Jammu & Kashmir,Male,Unmarried,Muslim,Muslim,Urban,Middle (6-9),casual_piecework,private_individual,26,44224,1492,none,True,Hindi,False,0.99,True,0.072,3,0.828
115,Karnataka,Male,Unmarried,Muslim,Brahmin,Rural,1-4 yrs,casual_piecework,private_individual,21,46274,2299,none,False,Kannada,False,0.924,True,0.37,1,0.889
116,West Bengal,Female,Unmarried,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_firm,26,54047,2838,written,False,Bengali,False,0.414,True,0.606,5,0.518
117,Andhra Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,45,19605,1685,none,True,Telugu,False,0.99,True,0.437,3,0.719
118,Kerala,Male,Married,Hindu,OBC,Urban,Secondary (10-11),casual_daily,private_individual,25,39012,2153,none,False,Hindi,False,0.868,True,0.216,4,0.71
119,Chhattisgarh,Male,Married,Hindu,OBC,Rural,Middle (6-9),casual_daily,mgnrega,53,9400,1108,none,False,Hindi,False,0.868,True,0.195,2,0.866
120,Delhi,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_firm,50,58637,2947,written,True,Hindi,False,0.468,False,0.726,3,0.232
121,Jharkhand,Male,Married,Other,Adivasi (ST),Urban,Middle (6-9),casual_daily,private_individual,46,17752,2909,none,False,Santali,True,0.99,True,0.1,2,0.895
122,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,1-4 yrs,casual_daily,private_firm,61,37196,2067,none,False,Tamil,False,0.99,True,0.259,1,0.922
123,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,38,46616,2893,none,False,Hindi,False,0.99,True,0.172,1,0.948
124,Maharashtra,Female,Married,Hindu,OBC,Urban,Higher Sec (12-14),regular_informal,other_govt_program,37,7452,2861,none,False,Hindi,False,0.483,True,0.182,4,0.72
125,Goa,Female,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_piecework,other_govt_program,53,7081,2329,none,True,Hindi,False,0.99,True,0.64,2,0.733
126,Andhra Pradesh,Male,Married,Hindu,OBC,Urban,Higher Sec (12-14),casual_daily,private_individual,23,85356,1837,none,True,Hindi,False,0.99,True,0.199,4,0.715
127,Tamil Nadu,Male,Married,Christian,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,46,47548,3034,none,True,Tamil,False,0.99,True,0.044,1,0.987
128,Andhra Pradesh,Male,Married,Muslim,Muslim,Urban,Secondary (10-11),casual_piecework,private_individual,34,76517,2344,none,True,Telugu,False,0.99,True,0.197,4,0.716
129,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,other_govt_program,44,82799,2901,none,False,Bengali,False,0.504,True,0.158,4,0.728
130,Andhra Pradesh,Male,Married,Hindu,Forward caste,Rural,Secondary (10-11),casual_daily,other,59,24311,1866,none,False,Telugu,False,0.868,True,0.403,3,0.729
131,Tamil Nadu,Male,Married,Hindu,OBC,Urban,Graduate (15),casual_daily,private_individual,45,49550,1975,none,False,Tamil,False,0.868,True,0.16,5,0.652
132,Tamil Nadu,Male,Separated/Divorced,Hindu,Dalit (SC),Urban,1-4 yrs,casual_piecework,other,45,41791,1491,none,True,Tamil,False,0.99,True,0.119,1,0.964
133,Gujarat,Male,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,47,5716,1506,none,True,Gujarati,False,0.99,True,0.152,1,0.954
134,West Bengal,Male,Unmarried,Hindu,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_individual,37,70840,2584,none,False,Hindi,False,0.42,False,0.171,5,0.249
135,Madhya Pradesh,Female,Married,Hindu,Adivasi (ST),Rural,Primary (5),casual_daily,private_individual,35,4364,223,none,False,Urdu,False,0.99,True,0.802,1,0.759
136,Odisha,Male,Married,Tribal,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,18,5555,297,none,False,Odia,False,0.99,True,0.191,2,0.868
137,Madhya Pradesh,Male,Married,Muslim,Muslim,Urban,Primary (5),casual_daily,private_individual,26,45608,2074,none,False,Hindi,False,0.868,True,0.431,2,0.796
138,Andhra Pradesh,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,other,49,18711,1763,none,False,Telugu,False,0.99,True,0.229,1,0.931
139,Karnataka,Male,Married,Hindu,Dalit (SC),Rural,Secondary (10-11),casual_piecework,private_individual,27,70860,2396,none,False,Kannada,False,0.99,True,0.199,3,0.79
140,Karnataka,Male,Unmarried,Jain,Christian/Sikh/Jain,Urban,Graduate (15),casual_daily,private_individual,23,38222,2185,none,False,Kannada,False,0.868,True,0.164,5,0.651
141,Tamil Nadu,Male,Married,Hindu,Dalit (SC),Rural,Primary (5),casual_daily,private_individual,46,56076,1822,none,False,Tamil,False,0.99,True,0.528,1,0.842
142,Tamil Nadu,Female,Married,Hindu,OBC,Urban,1-4 yrs,casual_daily,private_individual,49,68567,1987,none,False,Tamil,False,0.99,True,0.189,1,0.943
143,Rajasthan,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_firm,20,28117,2902,none,False,Hindi,False,0.868,True,0.439,1,0.868
144,Madhya Pradesh,Male,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,private_individual,24,35039,2109,none,False,Hindi,False,0.99,True,0.166,2,0.875
145,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Higher Sec (12-14),regular_informal,private_firm,45,59232,2981,written,False,Bengali,False,0.36,False,0.967,4,0.085
146,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),regular_informal,private_individual,49,86497,2669,none,True,Bengali,False,0.655,True,0.142,3,0.807
147,West Bengal,Male,Married,Hindu,Forward caste,Urban,Secondary (10-11),regular_informal,private_firm,45,118765,2984,written,False,Bengali,False,0.3,False,0.646,4,0.181
148,Rajasthan,Female,Married,Hindu,Brahmin,Rural,1-4 yrs,casual_piecework,mgnrega,24,1292,214,none,False,Hindi,False,0.99,True,0.08,1,0.976
149,Punjab,Male,Married,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,27,12651,1334,none,False,Hindi,False,0.99,True,0.648,1,0.806
150,Rajasthan,Male,Married,Hindu,Dalit (SC),Urban,Post-graduate (16+),regular_informal,private_firm,28,229957,2829,written,False,Hindi,False,0.36,False,0.982,5,0.005
151,Karnataka,Male,Married,Muslim,Muslim,Urban,1-4 yrs,casual_daily,private_individual,24,194665,2032,none,False,Kannada,False,0.868,True,0.216,1,0.935
152,Kerala,Male,Married,Hindu,OBC,Urban,Graduate (15),casual_piecework,private_firm,45,168825,3423,none,False,Hindi,False,0.924,True,0.231,5,0.631
153,Himachal Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_daily,other,25,17979,1287,none,False,Hindi,False,0.99,True,0.171,2,0.874
154,Arunachal Pradesh,Male,Married,Other,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_firm,36,37204,2958,none,False,Hindi,False,0.99,True,0.244,1,0.927
155,Jammu & Kashmir,Female,Married,Hindu,Adivasi (ST),Rural,Middle (6-9),casual_daily,mgnrega,48,22943,1486,none,False,Hindi,False,0.99,True,0.198,2,0.866
156,Uttar Pradesh,Male,Unmarried,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_individual,22,46197,2312,none,True,Bhojpuri,True,0.99,True,0.299,2,0.835
157,Assam,Male,Unmarried,Hindu,OBC,Rural,Middle (6-9),casual_daily,private_individual,19,34122,690,none,True,Hindi,False,0.99,True,0.208,2,0.863
158,Jharkhand,Male,Married,Tribal,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_individual,25,46405,1222,none,True,Santali,True,0.99,True,0.24,1,0.928
