Training CTGAN on 45,424 real informal workers, 300 epochs...

  0%|          | 0/300 [00:00<?, ?it/s]
Gen. (+00.00) | Discrim. (+00.00):   0%|          | 0/300 [00:00<?, ?it/s]
Gen. (-00.70) | Discrim. (-00.14):  14%|█▎        | 41/300 [02:20<14:28,  3.35s/it]
Gen. (-00.37) | Discrim. (-00.38):  14%|█▎        | 41/300 [02:23<14:28,  3.35s/it]
Gen. (-00.37) | Discrim. (-00.38):  14%|█▍        | 42/300 [02:23<14:19,  3.33s/it]
Gen. (-00.77) | Discrim. (+00.06):  14%|█▍        | 42/300 [02:26<14:19,  3.33s/it]
Gen. (-00.77) | Discrim. (+00.06):  14%|█▍        | 43/300 [02:26<14:17,  3.34s/it]
Gen. (-00.92) | Discrim. (+00.00):  14%|█▍        | 43/300 [02:30<14:17,  3.34s/it]
Gen. (-00.92) | Discrim. (+00.00):  15%|█▍        | 44/300 [02:30<14:13,  3.33s/it]
Gen. (-00.69) | Discrim. (-00.10):  15%|█▍        | 44/300 [02:33<14:13,  3.33s/it]
Gen. (-00.69) | Discrim. (-00.10):  15%|█▌        | 45/300 [02:33<14:06,  3.32s/it]
Gen. (-00.48) | Discrim. (-00.19):  15%|█▌        | 45/300 [02:36<14:06,  3.32s/it]
Gen. (-00.48) | Discrim. (-00.19):  15%|█▌        | 46/300 [02:36<14:00,  3.31s/it]
Gen. (-00.72) | Discrim. (-00.04):  15%|█▌        | 46/300 [02:39<14:00,  3.31s/it]
Gen. (-00.72) | Discrim. (-00.04):  16%|█▌        | 47/300 [02:39<13:57,  3.31s/it]
Gen. (-00.60) | Discrim. (+00.06):  16%|█▌        | 47/300 [02:43<13:57,  3.31s/it]
Gen. (-00.60) | Discrim. (+00.06):  16%|█▌        | 48/300 [02:43<14:05,  3.36s/it]
Gen. (-00.80) | Discrim. (-00.12):  16%|█▌        | 48/300 [02:46<14:05,  3.36s/it]
Gen. (-00.80) | Discrim. (-00.12):  16%|█▋        | 49/300 [02:46<14:15,  3.41s/it]
Gen. (-00.79) | Discrim. (+00.16):  16%|█▋        | 49/300 [02:50<14:15,  3.41s/it]
Gen. (-00.79) | Discrim. (+00.16):  17%|█▋        | 50/300 [02:50<14:19,  3.44s/it]
Gen. (-00.68) | Discrim. (-00.00):  17%|█▋        | 50/300 [02:53<14:19,  3.44s/it]
Gen. (-00.68) | Discrim. (-00.00):  17%|█▋        | 51/300 [02:53<14:16,  3.44s/it]
Gen. (-00.77) | Discrim. (+00.01):  17%|█▋        | 51/300 [02:57<14:16,  3.44s/it]
Gen. (-00.77) | Discrim. (+00.01):  17%|█▋        | 52/300 [02:57<14:15,  3.45s/it]
Gen. (-00.88) | Discrim. (-00.14):  17%|█▋        | 52/300 [03:00<14:15,  3.45s/it]
Gen. (-00.88) | Discrim. (-00.14):  18%|█▊        | 53/300 [03:00<14:07,  3.43s/it]
Gen. (-01.14) | Discrim. (+00.04):  18%|█▊        | 53/300 [03:04<14:07,  3.43s/it]
Gen. (-01.14) | Discrim. (+00.04):  18%|█▊        | 54/300 [03:04<13:51,  3.38s/it]
Gen. (-00.83) | Discrim. (-00.12):  18%|█▊        | 54/300 [03:07<13:51,  3.38s/it]
Gen. (-00.83) | Discrim. (-00.12):  18%|█▊        | 55/300 [03:07<13:43,  3.36s/it]
Gen. (-00.75) | Discrim. (+00.11):  18%|█▊        | 55/300 [03:10<13:43,  3.36s/it]
Gen. (-00.75) | Discrim. (+00.11):  19%|█▊        | 56/300 [03:10<13:43,  3.38s/it]
Gen. (-00.85) | Discrim. (-00.02):  19%|█▊        | 56/300 [03:14<13:43,  3.38s/it]
Gen. (-00.85) | Discrim. (-00.02):  19%|█▉        | 57/300 [03:14<13:39,  3.37s/it]
Gen. (-00.78) | Discrim. (+00.02):  19%|█▉        | 57/300 [03:17<13:39,  3.37s/it]
Gen. (-00.78) | Discrim. (+00.02):  19%|█▉        | 58/300 [03:17<13:34,  3.36s/it]
Gen. (-00.75) | Discrim. (+00.03):  19%|█▉        | 58/300 [03:20<13:34,  3.36s/it]
Gen. (-00.75) | Discrim. (+00.03):  20%|█▉        | 59/300 [03:20<13:24,  3.34s/it]
Gen. (-00.96) | Discrim. (-00.32):  20%|█▉        | 59/300 [03:24<13:24,  3.34s/it]
Gen. (-00.96) | Discrim. (-00.32):  20%|██        | 60/300 [03:24<13:22,  3.34s/it]
Gen. (-00.97) | Discrim. (+00.02):  20%|██        | 60/300 [03:27<13:22,  3.34s/it]
Gen. (-00.97) | Discrim. (+00.02):  20%|██        | 61/300 [03:27<13:25,  3.37s/it]
Gen. (-00.58) | Discrim. (-00.09):  20%|██        | 61/300 [03:30<13:25,  3.37s/it]
Gen. (-00.58) | Discrim. (-00.09):  21%|██        | 62/300 [03:30<13:22,  3.37s/it]
Gen. (-00.78) | Discrim. (+00.07):  21%|██        | 62/300 [03:34<13:22,  3.37s/it]
Gen. (-00.78) | Discrim. (+00.07):  21%|██        | 63/300 [03:34<13:24,  3.39s/it]
Gen. (-00.64) | Discrim. (+00.01):  21%|██        | 63/300 [03:37<13:24,  3.39s/it]
Gen. (-00.64) | Discrim. (+00.01):  21%|██▏       | 64/300 [03:37<13:20,  3.39s/it]
Gen. (-00.61) | Discrim. (+00.07):  21%|██▏       | 64/300 [03:41<13:20,  3.39s/it]
Gen. (-00.61) | Discrim. (+00.07):  22%|██▏       | 65/300 [03:41<13:16,  3.39s/it]
Gen. (-00.82) | Discrim. (+00.11):  22%|██▏       | 65/300 [03:44<13:16,  3.39s/it]
Gen. (-00.82) | Discrim. (+00.11):  22%|██▏       | 66/300 [03:44<13:16,  3.41s/it]
Gen. (-00.49) | Discrim. (+00.01):  22%|██▏       | 66/300 [03:47<13:16,  3.41s/it]
Gen. (-00.49) | Discrim. (+00.01):  22%|██▏       | 67/300 [03:47<13:09,  3.39s/it]
Gen. (-00.85) | Discrim. (+00.01):  22%|██▏       | 67/300 [03:51<13:09,  3.39s/it]
Gen. (-00.85) | Discrim. (+00.01):  23%|██▎       | 68/300 [03:51<13:02,  3.37s/it]
Gen. (-00.89) | Discrim. (-00.12):  23%|██▎       | 68/300 [03:54<13:02,  3.37s/it]
Gen. (-00.89) | Discrim. (-00.12):  23%|██▎       | 69/300 [03:54<12:56,  3.36s/it]
Gen. (-00.90) | Discrim. (-00.25):  23%|██▎       | 69/300 [03:58<12:56,  3.36s/it]
Gen. (-00.90) | Discrim. (-00.25):  23%|██▎       | 70/300 [03:58<12:56,  3.38s/it]
Gen. (-00.86) | Discrim. (+00.07):  23%|██▎       | 70/300 [04:01<12:56,  3.38s/it]
Gen. (-00.86) | Discrim. (+00.07):  24%|██▎       | 71/300 [04:01<12:53,  3.38s/it]
Gen. (-00.63) | Discrim. (-00.10):  24%|██▎       | 71/300 [04:04<12:53,  3.38s/it]
Gen. (-00.63) | Discrim. (-00.10):  24%|██▍       | 72/300 [04:04<12:51,  3.38s/it]
Gen. (-00.72) | Discrim. (+00.03):  24%|██▍       | 72/300 [04:08<12:51,  3.38s/it]
Gen. (-00.72) | Discrim. (+00.03):  24%|██▍       | 73/300 [04:08<13:01,  3.44s/it]
Gen. (-00.62) | Discrim. (+00.24):  24%|██▍       | 73/300 [04:11<13:01,  3.44s/it]
Gen. (-00.62) | Discrim. (+00.24):  25%|██▍       | 74/300 [04:11<13:00,  3.45s/it]
Gen. (-00.69) | Discrim. (-00.11):  25%|██▍       | 74/300 [04:15<13:00,  3.45s/it]
Gen. (-00.69) | Discrim. (-00.11):  25%|██▌       | 75/300 [04:15<12:53,  3.44s/it]
Gen. (-00.53) | Discrim. (-00.00):  25%|██▌       | 75/300 [04:18<12:53,  3.44s/it]
Gen. (-00.53) | Discrim. (-00.00):  25%|██▌       | 76/300 [04:18<12:55,  3.46s/it]
Gen. (-00.73) | Discrim. (-00.08):  25%|██▌       | 76/300 [04:22<12:55,  3.46s/it]
Gen. (-00.73) | Discrim. (-00.08):  26%|██▌       | 77/300 [04:22<12:50,  3.46s/it]
Gen. (-00.91) | Discrim. (-00.05):  26%|██▌       | 77/300 [04:25<12:50,  3.46s/it]
Gen. (-00.91) | Discrim. (-00.05):  26%|██▌       | 78/300 [04:25<12:43,  3.44s/it]
Gen. (-00.80) | Discrim. (-00.29):  26%|██▌       | 78/300 [04:29<12:43,  3.44s/it]
Gen. (-00.80) | Discrim. (-00.29):  26%|██▋       | 79/300 [04:29<12:38,  3.43s/it]
Gen. (-01.03) | Discrim. (+00.01):  26%|██▋       | 79/300 [04:32<12:38,  3.43s/it]
Gen. (-01.03) | Discrim. (+00.01):  27%|██▋       | 80/300 [04:32<12:34,  3.43s/it]
Gen. (-00.80) | Discrim. (+00.11):  27%|██▋       | 80/300 [04:35<12:34,  3.43s/it]
Gen. (-00.80) | Discrim. (+00.11):  27%|██▋       | 81/300 [04:35<12:30,  3.43s/it]
Gen. (-00.61) | Discrim. (+00.22):  27%|██▋       | 81/300 [04:39<12:30,  3.43s/it]
Gen. (-00.61) | Discrim. (+00.22):  27%|██▋       | 82/300 [04:39<12:33,  3.46s/it]
Gen. (-00.58) | Discrim. (-00.10):  27%|██▋       | 82/300 [04:42<12:33,  3.46s/it]
Gen. (-00.58) | Discrim. (-00.10):  28%|██▊       | 83/300 [04:42<12:33,  3.47s/it]
Gen. (-00.75) | Discrim. (-00.09):  28%|██▊       | 83/300 [04:46<12:33,  3.47s/it]
Gen. (-00.75) | Discrim. (-00.09):  28%|██▊       | 84/300 [04:46<12:26,  3.46s/it]
Gen. (-00.68) | Discrim. (-00.15):  28%|██▊       | 84/300 [04:49<12:26,  3.46s/it]
Gen. (-00.68) | Discrim. (-00.15):  28%|██▊       | 85/300 [04:49<12:14,  3.42s/it]
Gen. (-00.94) | Discrim. (-00.09):  28%|██▊       | 85/300 [04:53<12:14,  3.42s/it]
Gen. (-00.94) | Discrim. (-00.09):  29%|██▊       | 86/300 [04:53<12:11,  3.42s/it]
Gen. (-00.80) | Discrim. (-00.09):  29%|██▊       | 86/300 [04:56<12:11,  3.42s/it]
Gen. (-00.80) | Discrim. (-00.09):  29%|██▉       | 87/300 [04:56<12:12,  3.44s/it]
Gen. (-00.91) | Discrim. (-00.00):  29%|██▉       | 87/300 [05:00<12:12,  3.44s/it]
Gen. (-00.91) | Discrim. (-00.00):  29%|██▉       | 88/300 [05:00<12:21,  3.50s/it]
Gen. (-00.86) | Discrim. (-00.18):  29%|██▉       | 88/300 [05:03<12:21,  3.50s/it]
Gen. (-00.86) | Discrim. (-00.18):  30%|██▉       | 89/300 [05:03<12:30,  3.56s/it]
Gen. (-00.59) | Discrim. (+00.00):  30%|██▉       | 89/300 [05:07<12:30,  3.56s/it]
Gen. (-00.59) | Discrim. (+00.00):  30%|███       | 90/300 [05:07<12:16,  3.51s/it]
Gen. (-00.89) | Discrim. (-00.07):  30%|███       | 90/300 [05:10<12:16,  3.51s/it]
Gen. (-00.89) | Discrim. (-00.07):  30%|███       | 91/300 [05:10<12:08,  3.48s/it]
Gen. (-00.50) | Discrim. (+00.09):  30%|███       | 91/300 [05:14<12:08,  3.48s/it]
Gen. (-00.50) | Discrim. (+00.09):  31%|███       | 92/300 [05:14<12:09,  3.51s/it]
Gen. (-00.70) | Discrim. (-00.31):  31%|███       | 92/300 [05:17<12:09,  3.51s/it]
Gen. (-00.70) | Discrim. (-00.31):  31%|███       | 93/300 [05:17<11:58,  3.47s/it]
Gen. (-00.54) | Discrim. (-00.28):  31%|███       | 93/300 [05:21<11:58,  3.47s/it]
Gen. (-00.54) | Discrim. (-00.28):  31%|███▏      | 94/300 [05:21<11:49,  3.45s/it]
Gen. (-00.50) | Discrim. (-00.18):  31%|███▏      | 94/300 [05:24<11:49,  3.45s/it]
Gen. (-00.50) | Discrim. (-00.18):  32%|███▏      | 95/300 [05:24<11:39,  3.41s/it]
Gen. (-00.66) | Discrim. (-00.13):  32%|███▏      | 95/300 [05:27<11:39,  3.41s/it]
Gen. (-00.66) | Discrim. (-00.13):  32%|███▏      | 96/300 [05:27<11:36,  3.41s/it]
Gen. (-00.48) | Discrim. (+00.00):  32%|███▏      | 96/300 [05:31<11:36,  3.41s/it]
Gen. (-00.48) | Discrim. (+00.00):  32%|███▏      | 97/300 [05:31<11:32,  3.41s/it]
Gen. (-00.77) | Discrim. (-00.21):  32%|███▏      | 97/300 [05:34<11:32,  3.41s/it]
Gen. (-00.77) | Discrim. (-00.21):  33%|███▎      | 98/300 [05:34<11:26,  3.40s/it]
Gen. (-00.75) | Discrim. (+00.05):  33%|███▎      | 98/300 [05:37<11:26,  3.40s/it]
Gen. (-00.75) | Discrim. (+00.05):  33%|███▎      | 99/300 [05:37<11:21,  3.39s/it]
Gen. (-00.84) | Discrim. (+00.06):  33%|███▎      | 99/300 [05:41<11:21,  3.39s/it]
Gen. (-00.84) | Discrim. (+00.06):  33%|███▎      | 100/300 [05:41<11:16,  3.38s/it]
Gen. (-00.78) | Discrim. (+00.10):  33%|███▎      | 100/300 [05:44<11:16,  3.38s/it]
Gen. (-00.78) | Discrim. (+00.10):  34%|███▎      | 101/300 [05:44<11:09,  3.37s/it]
Gen. (-00.85) | Discrim. (+00.06):  34%|███▎      | 101/300 [05:48<11:09,  3.37s/it]
Gen. (-00.85) | Discrim. (+00.06):  34%|███▍      | 102/300 [05:48<11:07,  3.37s/it]
Gen. (-00.95) | Discrim. (-00.02):  34%|███▍      | 102/300 [05:51<11:07,  3.37s/it]
Gen. (-00.95) | Discrim. (-00.02):  34%|███▍      | 103/300 [05:51<11:10,  3.41s/it]
Gen. (-00.60) | Discrim. (+00.02):  34%|███▍      | 103/300 [05:54<11:10,  3.41s/it]
Gen. (-00.60) | Discrim. (+00.02):  35%|███▍      | 104/300 [05:54<11:07,  3.41s/it]
Gen. (-00.67) | Discrim. (-00.03):  35%|███▍      | 104/300 [05:58<11:07,  3.41s/it]
Gen. (-00.67) | Discrim. (-00.03):  35%|███▌      | 105/300 [05:58<11:07,  3.42s/it]
Gen. (-00.49) | Discrim. (-00.10):  35%|███▌      | 105/300 [06:01<11:07,  3.42s/it]
Gen. (-00.49) | Discrim. (-00.10):  35%|███▌      | 106/300 [06:01<11:00,  3.41s/it]
Gen. (-00.60) | Discrim. (-00.20):  35%|███▌      | 106/300 [06:05<11:00,  3.41s/it]
Gen. (-00.60) | Discrim. (-00.20):  36%|███▌      | 107/300 [06:05<10:58,  3.41s/it]
Gen. (-00.75) | Discrim. (-00.03):  36%|███▌      | 107/300 [06:08<10:58,  3.41s/it]
Gen. (-00.75) | Discrim. (-00.03):  36%|███▌      | 108/300 [06:08<11:03,  3.45s/it]
Gen. (-00.73) | Discrim. (-00.15):  36%|███▌      | 108/300 [06:12<11:03,  3.45s/it]
Gen. (-00.73) | Discrim. (-00.15):  36%|███▋      | 109/300 [06:12<10:54,  3.42s/it]
Gen. (-01.00) | Discrim. (-00.03):  36%|███▋      | 109/300 [06:15<10:54,  3.42s/it]
Gen. (-01.00) | Discrim. (-00.03):  37%|███▋      | 110/300 [06:15<10:53,  3.44s/it]
Gen. (-00.94) | Discrim. (-00.02):  37%|███▋      | 110/300 [06:18<10:53,  3.44s/it]
Gen. (-00.94) | Discrim. (-00.02):  37%|███▋      | 111/300 [06:18<10:45,  3.42s/it]
Gen. (-00.48) | Discrim. (-00.21):  37%|███▋      | 111/300 [06:22<10:45,  3.42s/it]
Gen. (-00.48) | Discrim. (-00.21):  37%|███▋      | 112/300 [06:22<10:50,  3.46s/it]
Gen. (-00.57) | Discrim. (-00.01):  37%|███▋      | 112/300 [06:25<10:50,  3.46s/it]
Gen. (-00.57) | Discrim. (-00.01):  38%|███▊      | 113/300 [06:25<10:43,  3.44s/it]
Gen. (-00.75) | Discrim. (+00.02):  38%|███▊      | 113/300 [06:29<10:43,  3.44s/it]
Gen. (-00.75) | Discrim. (+00.02):  38%|███▊      | 114/300 [06:29<10:31,  3.40s/it]
Gen. (-00.63) | Discrim. (-00.10):  38%|███▊      | 114/300 [06:32<10:31,  3.40s/it]
Gen. (-00.63) | Discrim. (-00.10):  38%|███▊      | 115/300 [06:32<10:22,  3.37s/it]
Gen. (-00.58) | Discrim. (+00.14):  38%|███▊      | 115/300 [06:35<10:22,  3.37s/it]
Gen. (-00.58) | Discrim. (+00.14):  39%|███▊      | 116/300 [06:35<10:15,  3.35s/it]
Gen. (-00.42) | Discrim. (-00.18):  39%|███▊      | 116/300 [06:39<10:15,  3.35s/it]
Gen. (-00.42) | Discrim. (-00.18):  39%|███▉      | 117/300 [06:39<10:10,  3.34s/it]
Gen. (-00.54) | Discrim. (-00.05):  39%|███▉      | 117/300 [06:42<10:10,  3.34s/it]
Gen. (-00.54) | Discrim. (-00.05):  39%|███▉      | 118/300 [06:42<10:01,  3.31s/it]
Gen. (-00.75) | Discrim. (+00.07):  39%|███▉      | 118/300 [06:45<10:01,  3.31s/it]
Gen. (-00.75) | Discrim. (+00.07):  40%|███▉      | 119/300 [06:45<09:58,  3.31s/it]
Gen. (-00.52) | Discrim. (-00.07):  40%|███▉      | 119/300 [06:48<09:58,  3.31s/it]
Gen. (-00.52) | Discrim. (-00.07):  40%|████      | 120/300 [06:48<09:52,  3.29s/it]
Gen. (-00.60) | Discrim. (+00.17):  40%|████      | 120/300 [06:52<09:52,  3.29s/it]
Gen. (-00.60) | Discrim. (+00.17):  40%|████      | 121/300 [06:52<09:45,  3.27s/it]
Gen. (-00.39) | Discrim. (+00.28):  40%|████      | 121/300 [06:55<09:45,  3.27s/it]
Gen. (-00.39) | Discrim. (+00.28):  41%|████      | 122/300 [06:55<09:45,  3.29s/it]
Gen. (-00.67) | Discrim. (+00.18):  41%|████      | 122/300 [06:58<09:45,  3.29s/it]
Gen. (-00.67) | Discrim. (+00.18):  41%|████      | 123/300 [06:58<09:40,  3.28s/it]
Gen. (-00.45) | Discrim. (-00.12):  41%|████      | 123/300 [07:01<09:40,  3.28s/it]
Gen. (-00.45) | Discrim. (-00.12):  41%|████▏     | 124/300 [07:01<09:35,  3.27s/it]
Gen. (-00.74) | Discrim. (-00.38):  41%|████▏     | 124/300 [07:05<09:35,  3.27s/it]
Gen. (-00.74) | Discrim. (-00.38):  42%|████▏     | 125/300 [07:05<09:36,  3.30s/it]
Gen. (-00.82) | Discrim. (-00.10):  42%|████▏     | 125/300 [07:08<09:36,  3.30s/it]
Gen. (-00.82) | Discrim. (-00.10):  42%|████▏     | 126/300 [07:08<09:48,  3.38s/it]
Gen. (-00.92) | Discrim. (+00.08):  42%|████▏     | 126/300 [07:12<09:48,  3.38s/it]
Gen. (-00.92) | Discrim. (+00.08):  42%|████▏     | 127/300 [07:12<09:46,  3.39s/it]
Gen. (-00.91) | Discrim. (-00.02):  42%|████▏     | 127/300 [07:15<09:46,  3.39s/it]
Gen. (-00.91) | Discrim. (-00.02):  43%|████▎     | 128/300 [07:15<09:42,  3.39s/it]
Gen. (-00.58) | Discrim. (-00.17):  43%|████▎     | 128/300 [07:19<09:42,  3.39s/it]
Gen. (-00.58) | Discrim. (-00.17):  43%|████▎     | 129/300 [07:19<09:39,  3.39s/it]
Gen. (-00.79) | Discrim. (-00.28):  43%|████▎     | 129/300 [07:22<09:39,  3.39s/it]
